,Request: Request Number  ↑,Product,DOC ID,Question,accuracy,extracted_sentence_1,keywords_1,Document_Name_1,DOC_ID_1,new_keywords_1,score_1,extracted_sentence_2,keywords_2,Document_Name_2,DOC_ID_2,new_keywords_2,score_2,extracted_sentence_3,keywords_3,Document_Name_3,DOC_ID_3,new_keywords_3,score_3
0,REQ-29479,Wegovy,SEOB 111,Please email Dr. Luu Sema 2.4mg Overview for his plan’s review. Infographics when available.,not accurate,email dr luu sema 24 mg overview plan review infograph avail,"overview,approval,summary",Approval and Product Overview (SEOB 010) (v3.0),SEOB 010,"overview , approv , summari",33.33333333,email dr luu sema 24 mg overview plan review infograph avail,"medicaid,formulary,summary,overview",Wegovy Medicaid Summary (SEOB 400) (v2.0),SEOB 400,"medicaid , formulari , summari , overview",25,email dr luu sema 24 mg overview plan review infograph avail,"step,overview,slide,clinical,pi",Clinical Overview of Wegovy (SEOB 601) (v1.0),SEOB 601,"step , overview , slide , clinic , pi",20
1,REQ-42253,Ozempic,SEM 032,"Provider has a patient with type 2 diabetes who was diagnosed with a benign tumor on the pancreas. She wanted to find out if we have any studies that included patients with the same condition, and is it safe to start them on Ozempic?",not accurate,provid patient type 2 diabet diagnos benign tumor pancrea want find studi includ patient condit    safe start ozemp,"type 1,diabetes,t1dm,t1d",Type 1 Diabetes (SEM 090) (v12.0),SEM 090,"type 1,diabet , t1 dm , t1d",25,provid patient type 2 diabet diagnos benign tumor pancrea want find studi includ patient condit    safe start ozemp,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,provid patient type 2 diabet diagnos benign tumor pancrea want find studi includ patient condit    safe start ozemp,"pancreatitis,pancreas,amylase,lipase,pancreatic,enzymes",Pancreatitis (SEM 006) (v14.0),SEM 006,"pancreat , pancrea , amylas , lipas , pancreat , enzym",20
2,REQ-43085,Ozempic,SEM 134,Is there any reason you would not want to use Ozempic in a younger patient with Type 2 diabetes due to increased risk of cancer or other long term issues?,accurate with one of docID,reason want use ozemp young patient type 2 diabet increas risk cancer long term issu,"neoplasms,cancer,neoplasm",Neoplasms  (SEM 134) (v7.0),SEM 134,"neoplasm , cancer , neoplasm",50,reason want use ozemp young patient type 2 diabet increas risk cancer long term issu,"type 1,diabetes,t1dm,t1d",Type 1 Diabetes (SEM 090) (v12.0),SEM 090,"type 1,diabet , t1 dm , t1d",25,reason want use ozemp young patient type 2 diabet increas risk cancer long term issu,"long-term,longest,duration,longer,time",Long-Term Data (SEM 174) (v5.0),SEM 174,"long - term , long , durat , long , time",25
3,REQ-43155,Ozempic,SEM 601,Please email me a copy of the updated Ozempic on label slide deck.,accurate with one of docID,email copi updat ozemp label slide deck,"clinical,overview,slide,slides,deck",Clinical Overview of Ozempic (SEM 601) (v4.0),SEM 601,"clinic , overview , slide , slide , deck",50,email copi updat ozemp label slide deck,"sustain,overview,slide,slides,clinical",Cover to Ozempic Clinical Overview Deck (SEM 600) (v5.0),SEM 600,"sustain , overview , slide , slide , clinic",25,email copi updat ozemp label slide deck,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25
4,,Ozempic,SEM 600,Please email me a copy of the updated Ozempic on label slide deck.,accurate with one of docID,email copi updat ozemp label slide deck,"clinical,overview,slide,slides,deck",Clinical Overview of Ozempic (SEM 601) (v4.0),SEM 601,"clinic , overview , slide , slide , deck",50,email copi updat ozemp label slide deck,"sustain,overview,slide,slides,clinical",Cover to Ozempic Clinical Overview Deck (SEM 600) (v5.0),SEM 600,"sustain , overview , slide , slide , clinic",25,email copi updat ozemp label slide deck,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25
5,REQ-43318,Ozempic,SEM 122,Christina would like to know if there is data on a tapering effect of weight loss seen with OZEMPIC.,not accurate,christina like know datum taper effect weight loss see ozemp,"mechanism,weight,weight loss",Mechanism of Weight Loss (SEM 141) (v6.0),SEM 141,"mechan , weight , weight loss",66.66666667,christina like know datum taper effect weight loss see ozemp,"weight,victoza",Weight vs. Victoza (SEM 142) (v6.0),SEM 142,"weight , victoza",50,christina like know datum taper effect weight loss see ozemp,"obesity,weight",Obesity Indication (SEM 155) (v13.0),SEM 155,"obes , weight",50
6,REQ-43325,Ozempic,SEM 1000,Is there any data showing Ozempic in use for patients who have neuroendocrine tumors of the GI tract?,not accurate,datum show ozemp use patient neuroendocrin tumor gi tract,"gastrointestinal,gi,management,ae",Management of GI Adverse Events (GLP1 014) (v1.0),GLP1 014,"gastrointestin , gi , manag , ae",25,datum show ozemp use patient neuroendocrin tumor gi tract,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,datum show ozemp use patient neuroendocrin tumor gi tract,"gi,gastrointestinal,safety,ae,adverse events",GI Adverse Events (SEM 005) (v11.0),SEM 005,"gi , gastrointestin , safeti , ae , advers event",20
7,REQ-43330,Ozempic,SEM 1000,"Dr. Jentner would like to know if the Ozempic pens are bio-degradable or if they can be recycled.  She would like to know if the pen needs/can be disposed of in a sharps container,if it doesn’t  have a needle attached.",not accurate,dr jentner like know ozemp pen biodegrad recycl    like know pen need dispos sharp contain nt    needl attach,"nnt,number,needed,treat",Number Needed to Treat (NNT) in SUSTAIN 6 (SEM 161) (v6.0),SEM 161,"nnt , number , need , treat",25,dr jentner like know ozemp pen biodegrad recycl    like know pen need dispos sharp contain nt    needl attach,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,dr jentner like know ozemp pen biodegrad recycl    like know pen need dispos sharp contain nt    needl attach,"ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,"ozemp , glucos , semaglutid , fast , fpg , preprandi",16.66666667
8,REQ-43341,Ozempic,SEM 125,"Can you send me any information on Ozempic’s impact on hypoglycemia, creatinine levels, and/or overall kidney function in patients with CKD stage 4 vs. stage 5?",not accurate,send inform ozemp impact hypoglycemia    creatinin level    overal kidney function patient ckd stage 4 vs stage 5,"hypoglycemia,hypo,safety",Hypoglycemia (SEM 120) (v9.0),SEM 120,"hypoglycemia , hypo , safeti",66.66666667,send inform ozemp impact hypoglycemia    creatinin level    overal kidney function patient ckd stage 4 vs stage 5,"flow,renal,kidney",The FLOW Trial (SEM 183) (v2.0),SEM 183,"flow , renal , kidney",33.33333333,send inform ozemp impact hypoglycemia    creatinin level    overal kidney function patient ckd stage 4 vs stage 5,"renal,kidney,outcomes,creatinine,uar,scr,glomerular,gfr",Renal Outcomes (GLP1 012) (v2.0),GLP1 012,"renal , kidney , outcom , creatinin , uar , scr , glomerular , gfr",25
9,,Ozempic,SEM 126,"Can you send me any information on Ozempic’s impact on hypoglycemia, creatinine levels, and/or overall kidney function in patients with CKD stage 4 vs. stage 5?",not accurate,send inform ozemp impact hypoglycemia    creatinin level    overal kidney function patient ckd stage 4 vs stage 5,"hypoglycemia,hypo,safety",Hypoglycemia (SEM 120) (v9.0),SEM 120,"hypoglycemia , hypo , safeti",66.66666667,send inform ozemp impact hypoglycemia    creatinin level    overal kidney function patient ckd stage 4 vs stage 5,"flow,renal,kidney",The FLOW Trial (SEM 183) (v2.0),SEM 183,"flow , renal , kidney",33.33333333,send inform ozemp impact hypoglycemia    creatinin level    overal kidney function patient ckd stage 4 vs stage 5,"renal,kidney,outcomes,creatinine,uar,scr,glomerular,gfr",Renal Outcomes (GLP1 012) (v2.0),GLP1 012,"renal , kidney , outcom , creatinin , uar , scr , glomerular , gfr",25
